region, century, deathcount
Mozambique, 21, 5,
Antigua, 21, 3,
Guernsey, 21, 7,
Malawi, 21, 9,
Monaco, 21, 19,
Slovakia, 21, 46,
Saint Lucia, 21, 8,
United Kingdom Northern Ireland, 21, 8,
Wales, 21, 11,
Namibia, 21, 15,
New Caledonia, 21, 4,
Trinidad, 21, 15,
Cambodia, 21, 15,
Laos, 21, 3,
Zambia, 21, 22,
North Korea, 21, 8,
Qatar, 21, 6,
Norfolk Island, 21, 1,
Comoros, 21, 1,
San Marino, 21, 2,
Madagascar, 21, 4,
Uganda, 21, 20,
Cape Verde, 21, 2,
Georgia, 21, 4,
Turks and Caicos Islands, 21, 1,
Saint Kitts and Nevis, 21, 1,
Nauru, 21, 4,
Tanzania, 21, 16,
Cayman Islands, 21, 4,
Chad, 21, 1,
Liberia, 21, 10,
Swaziland, 21, 1,
Turkmenistan, 21, 3,
Mongolia, 21, 4,
Vanuatu, 21, 4,
Grenada, 21, 5,
Northern Mariana Islands, 21, 5,
Suriname, 21, 4,
Republic of China (Taiwan), 21, 6,
Benin, 21, 5,
Liechtenstein, 21, 5,
Abkhazia, 21, 2,
Samoa, 21, 6,
Gabon, 21, 3,
Federated States of Micronesia, 21, 3,
Djibouti, 21, 1,
United States Virgin Islands, 21, 4,
Western Sahara, 21, 1,
Sint Maarten, 21, 2,
Tuvalu, 21, 2,
Maldives, 21, 2,
South Sudan, 21, 1,
Guinea, 21, 5,
East Timor (Timor-Leste), 21, 1,
Easter Island, 21, 1,
Marshall Islands, 21, 2,
Oman, 21, 2,
Equatorial Guinea, 21, 1,
South Ossetia, 21, 1,
Burundi, 21, 2,
Togo, 21, 1,
Saint Vincent and the Grenadines, 21, 1,
North Macedonia, 21, 3,
Brunei, 21, 1,
Dominica, 21, 1,
Niue, 21, 2,
Pitcairn Islands, 21, 1,
Wallis and Futuna, 21, 1,
